id,title,salary,address,educational,workExperience,companyPeople,companyNature,companyTitle,type,avg_salary,salary_low,salary_high,salary_issue,is_outlier,city
63404,数据湖工程师,15K-18K,上海·浦东新区,学历不限,经验不限,10000人以上,外资（欧美）,威立雅（中国）环境服务有限公司,大数据,16.5,15.0,18.0,,False,上海
63400,专线解决方案客户经理,12K-20K,上海·徐汇区,学历不限,经验不限,50-150人,民营,安徽瑞合大数据科技有限公司,大数据,16.0,12.0,20.0,,False,上海
63396,AI数据产品经理,30K-40K,北京,学历不限,经验不限,10000人以上,未知,美团,大数据,35.0,30.0,40.0,,False,北京
63395,数据挖掘工程师,30K-50K,北京,学历不限,经验不限,10000人以上,未知,美团,大数据,40.0,30.0,50.0,,False,北京
63393,算法工程师,10K-20K,上海·徐汇区,学历不限,经验不限,150-500人,民营,雅通数据科技（上海）有限公司,大数据,15.0,10.0,20.0,,False,上海
63392,销售经理(数据中心),15K-30K,北京,学历不限,经验不限,150-500人,外资（非欧美）,中金数据运营管理（天津）有限公司,大数据,22.5,15.0,30.0,,False,北京
63390,大数据开发工程师,15K-20K,上海·闵行区,学历不限,经验不限,150-500人,合资,上海沣海智能科技有限公司,大数据,17.5,15.0,20.0,,False,上海
63388,大数据开发工程师,12K-14K,上海·徐汇区,学历不限,经验不限,50-150人,民营,上海仟寻网络科技有限公司,大数据,13.0,12.0,14.0,,False,上海
63387,大数据开发工程师,20K-30K,北京·通州区,学历不限,经验不限,500-1000人,民营,阳光数智科技有限责任公司,大数据,25.0,20.0,30.0,,False,北京
63386,IDC售前经理,20K-30K,上海·静安区,学历不限,经验不限,150-500人,民营,国动大数据集团有限公司,大数据,25.0,20.0,30.0,,False,上海
63385,大数据运维工程师,16K-25K,上海·徐汇区,学历不限,经验不限,1000-5000人,国企,太保科技有限公司,大数据,20.5,16.0,25.0,,False,上海
63384,大数据工程师(J11707),15K-25K,上海·浦东新区,学历不限,经验不限,1000-5000人,未知,上海皓元医药股份有限公司,大数据,20.0,15.0,25.0,,False,上海
63382,软件工程师（大数据清洗、算法）,12K-24K,上海·青浦区,学历不限,经验不限,150-500人,民营,慧石（上海）测控科技有限公司,大数据,18.0,12.0,24.0,,False,上海
